"Reference","Qty","Value","DNP","Footprint","Datasheet","LCSC Part #"
"R15","1","47k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R14","1","47k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R13","1","47k","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R12","1","47K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R11","1","47K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C25664"
"R10","1","10K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C2479071"
"R9","1","47K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C2479751"
"R8","1","36","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C18006"
"R7","1","36","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C18006"
"R6","1","36","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C18006"
"R5","1","36","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C18006"
"R4","1","1.8K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C22108"
"R3","1","1.8K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C22108"
"R2","1","1.8K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C22108"
"R1","1","1.8K","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf","C22108"
"Q12","1","Q_NMOS_GSD","","Package_TO_SOT_SMD:SOT-23","https://www.panjit.com.tw/upload/datasheet/PJA3428.pdf","C5310967"
"Q11","1","Q_NMOS_GSD","","Package_TO_SOT_SMD:SOT-23","https://www.panjit.com.tw/upload/datasheet/PJA3428.pdf","C5310967"
"Q10","1","Q_NMOS_GSD","","Package_TO_SOT_SMD:SOT-23","https://www.panjit.com.tw/upload/datasheet/PJA3428.pdf","C5310967"
"Q9","1","Q_NMOS_GSD","","Package_TO_SOT_SMD:SOT-23","https://www.panjit.com.tw/upload/datasheet/PJA3428.pdf","C5310967"
"Q3","1","TEFT4300","","MM_Library:Emitter","https://www.vishay.com/docs/81549/teft4300.pdf","C118301"
"Q2","1","TEFT4300","","MM_Library:Emitter","https://www.vishay.com/docs/81549/teft4300.pdf","C118301"
"Q1","1","TEFT4300","","MM_Library:Emitter","https://www.vishay.com/docs/81549/teft4300.pdf","C118301"
"Q0","1","TEFT4300","","MM_Library:Emitter","https://www.vishay.com/docs/81549/teft4300.pdf","C118301"
"M_MH2","1","M2","","MM_Library:Motor_mouse","~",""
"M_MH1","1","M2","","MM_Library:Motor_mouse","~",""
"M2","1","M2_Conn_Alt","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","C144397"
"M1","1","M1_Conn_Alt","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","C144397"
"L1","1","10uH","","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.vishay.com/docs/34029/ilsb1206.pdf","C845121"
"JP4","1","Jumper_2_Open","","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~",""
"J5","1","SWD_Header","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~",""
"D6","1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579709206389587968-C2293.pdf?response-content-disposition=attachment%3B%20filename%3DC2293.pdf%3B%20filename%2A%3DUTF-8%27%27C2293.pdf&x-oss-date=20260901T060813Z&x-oss-expires=1800&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5naA9SA2KVk%2FIe6NW6Ar3gddMgUpLefrzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qclKjT0s557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWqppVeFtw6HD0eS19jklBdzSlusJRAJJUVBflCeKEaRNSAd3WGhEfM2%2BBt4QT30w5N2u00S8OSMI1LqVL6KWD5sagAFa71heCbuFfLbiT%2FD3xKH5WfGGuffM%2F1rtlp7yWBr0qBx6xcp9zSvEZOSAlQnG38C5IULHsFbH4uhCXpUfSfYClFaKuyF9wBZOFN7HkOO%2FXMNrhwDSwwxzMntgoy9YFUI%2FFGA5sl4xAqNQX%2BnSPGwpRPsJyOEfC1zgfrWYj9tfNyAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZoHn45zEKEQ7H1KxHxG8Kr4M%2F20260901%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=479d7e515c34864e5011d0683e0b2e3ba46d104599de2d791cd0b25fd23c415d","C2293"
"D5","1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.we-online.com/components/products/datasheet/150080GS75000.pdf","C2890404"
"D4","1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.kingbrightusa.com/images/catalog/SPEC/APT2012LSECK-J3-PRV.pdf","C5879380"
"D3","1","SFH4545","","MM_Library:Emitter","http://www.osram-os.com/Graphics/XPic0/00203825_0.pdf","C2900370"
"D2","1","SFH4545","","MM_Library:Emitter","http://www.osram-os.com/Graphics/XPic0/00203825_0.pdf","C2900370"
"D1","1","SFH4545","","MM_Library:Emitter","http://www.osram-os.com/Graphics/XPic0/00203825_0.pdf","C2900370"
"D0","1","SFH4545","","MM_Library:Emitter","http://www.osram-os.com/Graphics/XPic0/00203825_0.pdf","C2900370"
"C25","1","10nF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1091_C0G_ESD","C1846"
"C21","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C20","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C19","1","0.1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","C600013"
"C18","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C17","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C16","1","100uF","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf","C1590882"
"C15","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C14","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C13","1","0.1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","C600013"
"C12","1","0.1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","C600013"
"C11","1","10uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.lcsc.com/datasheet/C39127.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FlVXBVxWE1lfAgBVEVNcBldTEQRYUlVWRFkKUFVSTgUxVlNeT1NaVFxRQVdWXzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D","C39127"
"C10","1","10uF(Tantalum)","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://datasheets.kyocera-avx.com/TAJ_AUTO.pdf","C1952791"
"C9","1","10uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.lcsc.com/datasheet/C39127.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=FlVXBVxWE1lfAgBVEVNcBldTEQRYUlVWRFkKUFVSTgUxVlNeT1NaVFxRQVdWXzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D","C39127"
"C6","1","47µF","","Capacitor_SMD:C_1206_3216Metric","https://www.mouser.com/datasheet/3/76/2/GRM188R60J476ME15_01A.pdf","C140782"
"C5","1","100nF","","Capacitor_SMD:C_0603_1608Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B104KA8NNNC_Spec.pdf","C1590"
"C4","1","0.1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","C600013"
"C3","1","1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf","C28322"
"C2","1","100uF","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf","C1590882"
"C1","1","0.1uF","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","C600013"
"BT_MH4","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"BT_MH3","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"BT_MH2","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"BT_MH1","1","M2","","MountingHole:MountingHole_2.2mm_M2","~",""
"BT1","1","Battery_Cell","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eEH.pdf","C160262 "
